"logFC" "logCPM" "F" "PValue" "FDR"
"ATP8B2" -2.78902125061652 5.55416859940365 87.6958274736833 2.71687368626741e-06 0.000255329288147499
"HRASLS" 5.36749089847046 3.03097627930525 87.5800698602785 2.73330380646663e-06 0.000255647941140691
"ACYP2" 3.56348185759922 5.52046822459064 87.5119500688868 2.74302808489856e-06 0.000255647941140691
"SEPT6" -3.76005561882789 5.33983639931605 87.052505410662 2.80970907466822e-06 0.000260151917092554
"KCNA7" 10.4972290040697 4.23879836924099 86.9960946546269 2.8180294154586e-06 0.000260151917092554
"JAM3" -3.2206565972172 6.03166338049888 86.8540386683662 2.83911321707317e-06 0.000260151917092554
"HYDIN2" -4.14784534644551 2.07198311397958 86.8127723717188 2.84527331895522e-06 0.000260151917092554
"KCNJ11" 7.00709155045399 6.2542258603235 86.7860803247677 2.84926635522765e-06 0.000260151917092554
"TCEA3" 3.92943257108938 7.4472361795528 86.6951403038986 2.86292117538757e-06 0.000260340374576438
"KLHL42" -3.16406743848061 5.51008188093253 86.1559948242071 2.94550512212411e-06 0.000266184320804322
"NTM" -5.67202276864816 5.47005057961991 86.1214832567353 2.95088802280736e-06 0.000266184320804322
"TADA2B" 2.36977065309335 5.90727557709709 85.7767935221531 3.00530271979269e-06 0.000270008417557055
"CERS4" -2.81708947716315 4.26578082601643 85.6919489024891 3.01888069921064e-06 0.000270147726633347
"MAPK12" 4.00453854205647 6.49526268158367 85.6089691677256 3.03223141030213e-06 0.000270265673439667
"HOMER2" 3.58494872602245 5.57874273443521 85.4986758711038 3.05008633634809e-06 0.00027078256601073
"NKD1" -4.31171713428493 4.14796476704933 85.3665183844906 3.07164699856831e-06 0.000271401019645392
"PHKA1P1" 4.70860644861413 2.8949749919893 85.308202037867 3.08121900225168e-06 0.000271401019645392
"PLP1" -5.64707242882619 8.40795616694938 84.6833001209341 3.18606741546062e-06 0.000279540078979144
"LMOD1" -3.29545311996868 8.39770350036207 84.4607603166745 3.22443499787122e-06 0.000281398606173031
"BIN1" 4.80351084691214 9.67254368301781 84.4154952143239 3.23230668236686e-06 0.000281398606173031
"PLD4" -5.53155619194218 4.65830547829884 84.1628257877765 3.27667186906422e-06 0.000284159563131472
"TECRL" 10.6609445430561 4.02524846262684 83.6564218226006 3.36780658504924e-06 0.00029051853846919
"ACTG2" -9.82488811201111 11.5706871640458 83.5637484822669 3.3848116859873e-06 0.00029051853846919
"GALNT13" -4.95605186741679 2.47784114334499 83.478389224294 3.4005658084086e-06 0.00029051853846919
