	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"100861960" 0 0 0 0 0 0 0 0 0
"Mettl21e" 0 0 0 2 0 0 0 0 0
"Gulp1" 327 126 2283 1652 548 561 2325 69 213
"4930521E06Rik" 0 0 1 3 1 8 13 0 2
"Col3a1" 2776 10200 10360 14370 4288 32520 17412 1453 5010
"Col5a2" 293 822 15313 15611 412 3121 14692 194 514
"Wdr75" 960 1216 3325 2593 3065 2400 4184 865 684
"Gm5526" 977 1197 4455 5118 2953 1890 4256 814 750
"Slc40a1" 146 316 118 186 673 241 154 197 95
"Gm3852" 1 2 1 1 2 1 0 3 0
"Stk-ps2" 0 1 0 0 1 0 0 0 0
"Dnah7b" 11 82 430 291 116 36 638 45 20
"Dnah7c" 2 3 46 40 13 2 53 5 2
"Slc39a10" 425 1028 9105 6660 2555 1455 9091 856 425
"C230029F24Rik" 0 0 0 0 0 0 0 0 0
"Tmeff2" 27 48 274 229 16 143 239 6 36
"9330175M20Rik" 0 0 4 3 2 0 4 0 0
"Cavin2" 472 542 10920 9440 1571 662 7997 799 866
"Nabp1" 11802 11139 4769 4644 11034 13983 3996 5707 5787
"Gm17767" 29 34 1 1 22 25 1 16 17
"Myo1b" 2134 4746 4660 3336 8600 4611 4415 3273 1900
"Stat4" 8 40 16 14 107 21 25 31 16
"Gm3940" 11 11 27 35 52 41 33 5 6
"Stat1" 1229 2324 1905 1491 4460 2305 2013 1391 867
"Gls" 6317 5127 19466 14218 13219 15170 18861 4026 4220
"Nab1" 7760 4422 6029 3783 13695 14812 5436 2942 4152
"Nemp2" 234 395 360 304 550 271 246 300 173
"Mfsd6" 5772 3361 2669 2939 9736 10408 2577 2011 3026
"Inpp1" 545 401 961 849 814 828 704 226 395
"Hibch" 468 692 1436 962 1346 802 991 507 349
"1700019D03Rik" 18 6 519 333 17 23 466 6 10
"Mstn" 0 1 1 0 2 0 0 0 0
"1700019A02Rik" 0 0 0 3 2 2 1 0 1
"Pms1" 167 236 358 210 410 241 231 176 123
"Ormdl1" 287 728 387 368 1388 408 168 439 215
"Osgepl1" 92 177 434 296 349 167 331 146 81
"Asnsd1" 979 1153 1656 1029 2065 1400 898 701 589
"Dnah7a" 2 10 25 17 4 4 32 2 0
"Stk17b" 565 888 1877 1560 1306 899 1564 494 358
"Hecw2" 28 11 163 120 36 93 236 21 27
"Ccdc150" 5 9 16 8 11 16 15 0 4
"Gtf3c3" 374 659 928 740 1202 624 670 468 298
"Pgap1" 563 1050 1091 853 1838 1148 1056 793 488
"Ankrd44" 376 744 2472 2689 1315 907 3291 521 292
"Sf3b1" 27696 21903 44667 34900 53365 60666 47974 18185 19886
"Coq10b" 8140 5100 11681 10846 16283 19628 11013 3189 5501
"Hspd1" 3486 3847 11993 9926 10349 7248 9684 3370 2912
"Hspe1" 902 1500 4602 2687 2273 1257 2274 980 713
"Mob4" 1588 2391 3333 2326 5019 3405 3352 1639 1223
"Rftn2" 1076 353 564 588 1214 1206 461 160 540
"Mars2" 386 285 704 438 647 562 869 124 226
"Boll" 5 0 1 0 9 3 2 0 2
"Plcl1" 467 57 3914 2531 256 990 3678 49 180
"Gm6644" 60 201 635 377 275 115 299 81 38
"9130227L01Rik" 0 0 0 0 0 0 1 0 0
"Hsfy2" 0 0 0 0 0 0 0 0 0
"Satb2" 46 14 35 36 38 43 26 12 19
"9130024F11Rik" 8 3 9 8 6 2 5 4 5
"BC055402" 0 0 0 0 0 0 0 0 0
"4930558J18Rik" 4 4 41 23 8 4 35 2 1
